"¿Qué van a estudiar luego de recibirse del secundario?"
"Licenciatura en ciencias de la computación"
"Ingeniería en sistemas"
"Licenciatura en ciencias de la computación"
"Todavía no lo decidí"
"Todavía no lo decidí"
"Otra carrera"
"Licenciatura en ciencias de la computación"
"Todavía no lo decidí"
"Otra carrera"
"Licenciatura en ciencias de datos"
"Todavía no lo decidí"
"Ingeniería en sistemas"
"Todavía no lo decidí"
"Ingeniería informática"
"Todavía no lo decidí"
"Ingeniería en sistemas"
"Ingeniería informática"
"Ingeniería informática"
"Todavía no lo decidí"
"Ingeniería informática"
"Ingeniería en sistemas"
"Ingeniería en sistemas"
"Ingeniería en sistemas"
"Licenciatura en ciencias de la computación"
"Todavía no lo decidí"
"Licenciatura en ciencias de datos"
